User 1     User 2     Similarity
 vankarumang           Luckson_O              0.0
 vankarumang           tiger052374              0.0
 vankarumang           BartekZgrajka              0.0
 vankarumang           vankarumang              1.0
 vankarumang           DynamikFocus              0.0
 vankarumang           500pxrtg              0.0
 vankarumang           BramcoteToday              0.0
 vankarumang           detshady6425              0.0
 vankarumang           unitedcycleride              0.0
 vankarumang           HavokGoneOOC              0.0
 vankarumang           AMO4551              0.0
 vankarumang           GlasgowsVoice              0.0
 vankarumang           EgidioB_USAFan              0.0
 vankarumang           LaaautyLopez              0.0
 vankarumang           Gueven8              0.0
 vankarumang           gavinboyce23333              0.0
 vankarumang           pedrommmoreira1              0.0
 vankarumang           Positive_Pulse              0.0
 vankarumang           DawnRomanick              0.0
 vankarumang           guruwan2b              0.0
 vankarumang           MiguelSuppo_              0.0
 vankarumang           ZacBarrient              0.0
 vankarumang           amanda_wowk              0.0
 vankarumang           maivinhalliwell              0.0
 vankarumang           AskMicheleFirst              0.0
 vankarumang           RoulaDouglas              0.0
 vankarumang           Nate_Santana1              0.0
 vankarumang           cball47              0.0
 vankarumang           F_Miah_786              0.0
 vankarumang           claireworth1685              0.0
 vankarumang           kennethkilpatri              0.0
 vankarumang           SaraRoc05191903              0.0
 vankarumang           babatundemuham6              0.0
 vankarumang           Ga_Bunnie              0.0
 vankarumang           jillianebean              0.0
 vankarumang           s_nailee              0.0
 vankarumang           fadlala5              0.0
 vankarumang           jchqx_              0.0
 vankarumang           Therybass              0.0
 vankarumang           Agamewillwin1              0.0
 vankarumang           NZFCLUB              0.0
 vankarumang           tudor1_b              0.0
 vankarumang           SoloCruzAzul10              0.0
 vankarumang           HolianVI              0.0
 vankarumang           MyFamil12              0.0
 vankarumang           djrresto              0.0
 vankarumang           rachcurley20              0.0
 vankarumang           HaririAli              0.0
 vankarumang           JoshMahar2y              0.0
 vankarumang           PGHMayors              0.0
 vankarumang           MihalitsaE              0.0
 vankarumang           maloran23              0.0
 vankarumang           Tiffanyta5              0.0
 vankarumang           PeytonChandler_              0.0
 vankarumang           uriplacis              0.0
 vankarumang           Nidssss15              0.0
 vankarumang           TomGoatszn              0.0
 vankarumang           jillconan368              0.0
 vankarumang           Barbato01Jp              0.0
 vankarumang           chris_carrier96              0.0
 vankarumang           eduar_korn              0.0
 vankarumang           cocoloony              0.0
 DynamikFocus           PolskiFailer              0.0
 DynamikFocus           alexchevalier1              0.0
 DynamikFocus           Luckson_O              0.0
 DynamikFocus           tiger052374              0.0
 DynamikFocus           BartekZgrajka              0.0
 DynamikFocus           vankarumang              0.0
 DynamikFocus           DynamikFocus              1.0
 DynamikFocus           500pxrtg              0.0
 DynamikFocus           BramcoteToday              0.0
 DynamikFocus           detshady6425              0.0
 DynamikFocus           unitedcycleride              0.0
 DynamikFocus           HavokGoneOOC              0.0
 DynamikFocus           AMO4551              0.0
 DynamikFocus           GlasgowsVoice              0.0
 DynamikFocus           EgidioB_USAFan              0.0
 DynamikFocus           LaaautyLopez              0.0
 DynamikFocus           Gueven8              0.0
 DynamikFocus           gavinboyce23333              0.0
 DynamikFocus           pedrommmoreira1              0.0
 DynamikFocus           Positive_Pulse              0.0
 DynamikFocus           DawnRomanick              0.0
 DynamikFocus           guruwan2b              0.0
 DynamikFocus           MiguelSuppo_              0.0
 DynamikFocus           ZacBarrient              0.0
 DynamikFocus           amanda_wowk              0.0
 DynamikFocus           maivinhalliwell              0.0
 DynamikFocus           AskMicheleFirst              0.0
 DynamikFocus           RoulaDouglas              0.0
 DynamikFocus           Nate_Santana1              0.0
 DynamikFocus           cball47              0.0
 DynamikFocus           F_Miah_786              0.0
 DynamikFocus           claireworth1685              0.0
